max_len,epochs,batch_size,embedding_input,embedding_dim,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
,1,128,onehot,0,1,32,0.01,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.64738708166849,0.6181176,0.619636,0.6129092,0.616075,0.595016598701477,0.668749988079071,0.672410368919373,0.657812476158142,0.664962410926819
11,1,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.750293292590147,0.4878883,0.46252742,0.18324704,0.25970113,0.749630212783814,0.476934522390366,0.4520103931427,0.19791667163372,0.272411793470383
11,2,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.737676546418455,0.4901997,0.47706497,0.24038461,0.31617078,0.737139880657196,0.484375,0.473445534706116,0.260416656732559,0.333921760320663
11,3,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.727644827238907,0.4943602,0.48809066,0.28883135,0.35964653,0.727123916149139,0.491071432828903,0.488165497779846,0.30803570151329,0.375517606735229
11,4,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.719460074012801,0.49990755,0.49822944,0.33746302,0.39934716,0.71898478269577,0.493303567171097,0.488676130771637,0.352678567171097,0.407161176204681
11,5,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.71257970777489,0.5033284,0.5029849,0.37407544,0.42644578,0.712245047092438,0.496279776096344,0.494591027498245,0.380952388048172,0.428512662649155
11,6,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.706611950016586,0.51090974,0.5129705,0.41216716,0.45473263,0.706540822982788,0.511160731315613,0.513423264026642,0.424107134342194,0.463314056396484
11,7,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.701289625210169,0.52163464,0.5249894,0.44988906,0.4823756,0.701606869697571,0.531994044780731,0.536654949188232,0.474702388048172,0.502524256706238
11,8,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.696437894239933,0.5326368,0.53573954,0.4837278,0.50653166,0.697255492210388,0.540178596973419,0.543415606021881,0.501488089561462,0.520434617996216
11,9,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.691945272437214,0.5425296,0.5447547,0.51090974,0.5255646,0.693355560302734,0.551339268684387,0.553012609481812,0.529761910438538,0.539828062057495
