max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
10,onehot,0,7,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0979929021335542,0.34596422,0.0,0.0,0.0,1.0983326435089111,0.35427990555763245,0.0,0.0,0.0
10,onehot,0,8,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0979297964330663,0.36405414,0.0,0.0,0.0,1.098496437072754,0.348505437374115,0.0,0.0,0.0
10,onehot,0,9,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.097870616351857,0.36551636,0.0,0.0,0.0,1.0984903573989868,0.34714674949645996,0.0,0.0,0.0
10,onehot,0,10,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.09780475098819,0.36104614,0.0,0.0,0.0,1.0983721017837524,0.3665081560611725,0.0,0.0,0.0
10,onehot,0,11,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0977428858292932,0.36752173,0.0,0.0,0.0,1.0983645915985107,0.36616846919059753,0.0,0.0,0.0
10,onehot,0,12,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.097680046596629,0.3694435,0.0,0.0,0.0,1.0983628034591675,0.3678668439388275,0.0,0.0,0.0
10,onehot,0,13,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0976079919121482,0.3683573,0.0,0.0,0.0,1.098416805267334,0.36752718687057495,0.0,0.0,0.0
10,onehot,0,14,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.097554060864576,0.3732871,0.0,0.0,0.0,1.0984055995941162,0.36990490555763245,0.0,0.0,0.0
10,onehot,0,15,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0974817454496169,0.37111464,0.0,0.0,0.0,1.0982680320739746,0.3709239065647125,0.0,0.0,0.0
10,onehot,0,16,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0974247022108599,0.37454045,0.0,0.0,0.0,1.0982393026351929,0.36888587474823,0.0,0.0,0.0
10,onehot,0,17,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0973604178046161,0.37257686,0.0,0.0,0.0,1.0982587337493896,0.37228259444236755,0.0,0.0,0.0
10,onehot,0,18,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0972953811686306,0.37458223,0.0,0.0,0.0,1.0982086658477783,0.36922553181648254,0.0,0.0,0.0
10,onehot,0,19,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0972335000726627,0.37437332,0.0,0.0,0.0,1.098233938217163,0.37330162525177,0.0,0.0,0.0
10,onehot,0,20,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0971691429933763,0.37550133,0.0,0.0,0.0,1.098250150680542,0.37330162525177,0.0,0.0,0.0
